recipe_id,recipe_title,question_types,plain_english_pattern,what_to_notice,prediction_rule,common_traps,repair_lesson,mastery_threshold
RESOLVE_EXPLAIN,Resolve the Discrepancy,"[""RP""]","The passage states two facts that sit together badly: an intervention that should have helped and did not, or an effect with no visible cause. Both facts are true; the tension lies in what the reader expected.","Two claims are joined by ‘yet’, ‘however’, or ‘surprisingly’, and neither of them is being disputed.","State the surprising pairing as ‘X, and yet Y’, then predict a fact that would make Y unsurprising while leaving X entirely true.","[""Resolve Failure""]",A miss here usually means you chose a fact that was interesting about the situation rather than one that dissolves the tension -- or one that deepens it. A resolving fact leaves both original facts standing. Test any candidate by asking whether the pairing still surprises you once it is granted.,0.85
PARALLEL_FLAW,Match the Flawed Pattern,"[""PF""]","The argument commits one specific error, and the task is to find a second argument that commits the same one. The two topics have nothing to do with each other; the mistake is the only shared thing.","The stem asks for reasoning that is flawed in a similar way, which tells you the passage is already broken before you read a single choice.","Name the passage's error in one abstract sentence -- a fall in rank read as a fall in value, a blend of extremes read as an average -- and find the choice that makes exactly that mistake.","[""Form Failure""]","A miss here usually means you found a choice that was merely flawed, or flawed in a famous way, rather than flawed in the same way. Every wrong argument is wrong somehow. Name the passage's particular error first and treat it as the only thing you are matching.",0.75
PRINCIPLE_JUSTIFY,Principle That Justifies the Reasoning,"[""PR""]","The argument moves from a particular set of facts to a verdict -- something ought to be done, or someone is at fault. A general rule is missing that would make that verdict follow from those facts.","The conclusion carries a verdict word such as ‘should’ or ‘ought’ while the support is purely factual, and nothing in the passage says why those facts warrant that verdict.","State the rule as ‘whenever these facts hold, this verdict follows’ and look for the choice that says exactly that and no more broadly.","[""Scope Failure"",""Principle Failure"",""Direction Failure""]","A miss here usually means you chose a rule that sounded agreeable, or one wider than the case requires. A justifying principle must have its conditions met by these facts and must deliver this verdict. Check both ends of the rule, not just the half that sounds right.",0.80
METHOD_OF_REASONING,Describe the Argument's Method,"[""MR""]","The argument does something recognizable to a claim it has in its sights: denying that the claim falls under a category, answering an objection, producing a case the claim cannot accommodate, or likening the disputed practice to an accepted one.","There is an opponent or a claim being answered, and the passage's own conclusion is about that claim rather than about the world.","Describe in your own words the move the argument makes against the claim it targets, then find the choice that matches your description.","[""Role Failure"",""Method Failure"",""Direction Failure"",""Evidence Failure"",""Scope Failure""]","A miss here usually means you accepted an abstract description that sounded like reasoning without checking it against the passage. Method language is easy to assert and slow to falsify. Say the move out loud first, then eliminate any choice naming a technique you cannot point to.",0.80
STRENGTHEN_CLOSE_SUPPORT_GAP,Add the Missing Link,"[""ST""]","The argument's support would establish its conclusion only if some unstated connection holds -- that a benefit carries over from one case to another, or that a gap in the record runs the way the argument needs.","The support concerns one case while the conclusion concerns a second, or an inference about a record depends on how that record came to be assembled.","Name the connection the support needs in order to reach the conclusion, then predict the fact that would affirm that connection.","[""Scope Failure"",""Direction Failure"",""Comparison Failure""]","A miss here usually means you reinforced the case the argument already had instead of the bridge it lacked. Strengthening the model case does nothing for the target case. Ask which unstated connection is bearing the weight, and support that.",0.75
WEAKEN_ALTERNATIVE_CAUSE,Weaken with a Rival Cause,"[""WK""]","The argument sees two things occurring together and concludes that one produced the other. Nothing in the passage rules out a third factor, a selection effect, or a marker that both share.","The evidence is a co-occurrence or a difference between groups, the conclusion is causal, and the groups were never assigned -- they arose.","Ask what else could have produced the very same observation, then predict the fact that would let that rival do the work instead.","[""Scope Failure"",""Direction Failure"",""Comparison Failure""]",A miss here usually means you attacked the size or the reliability of the effect rather than its cause. Noise is not a rival. Supply a specific alternative that would produce the same observation with the argument's cause absent.,0.70
POINT_AT_ISSUE,Find the Point at Issue,"[""PI""]","Two speakers address one situation and reach different verdicts, but most of what each says goes untouched by the other. Exactly one proposition is affirmed by one speaker and denied by the other.","The second speaker rarely contradicts the first head-on; they raise a different consideration, so the collision has to be located rather than read off.","Write one sentence the first speaker would sign and the second would refuse, then look for it among the choices.","[""Dispute Failure"",""Role Failure"",""Scope Failure""]","A miss here usually means you chose a claim only one speaker addresses, treating silence as denial. Both speakers must take a stand, and the stands must be opposite. Test every choice twice, once against each speaker.",0.70
STRENGTHEN_RULE_OUT_RIVAL,Rule Out the Rival Cause,"[""ST""]",The argument reads an observation one way when a second reading is equally available. Its conclusion stands only if that rival reading is false.,"The evidence would look exactly the same under a less flattering explanation, and the passage never so much as mentions that explanation.","Name the rival explanation the evidence would support just as well, then predict the fact that would eliminate it.","[""Direction Failure"",""Scope Failure""]","A miss here usually means you added a fact that fits the argument's story rather than one that excludes the competing story. Compatibility is not support. Identify the rival first, then strengthen by killing it.",0.75
EVALUATE_KEY_UNCERTAINTY,Evaluate the Pivotal Uncertainty,"[""EV""]",The argument advances a hypothesis on evidence that a second factor could explain just as well. Whether the hypothesis survives turns on one question the passage never answers.,"The stem asks what would be useful to know, and the group under study shares some further feature besides the one the argument is investigating.","Name the factor that travels alongside the argument's cause, then form the question ‘does that factor alone produce the effect?’","[""Scope Failure""]",A miss here usually means you chose a question whose answer would be interesting but would leave the verdict where it was. A useful question has two answers that push the conclusion in opposite directions. Answer each candidate both ways and keep the one that splits the verdict.,0.70
PRINCIPLE_ILLUSTRATE,Name the Principle Illustrated,"[""PR""]","The passage reports observations that pull against each other -- something usually does one thing, and sometimes the opposite. Taken together they exemplify a general rule weaker than either observation alone.","Nothing is argued for; the passage simply reports what happens, often in the shape ‘usually ... but sometimes’.","State the most cautious generalization that both observations satisfy, keeping every hedge the passage forces upon you.","[""Scope Failure"",""Direction Failure""]","A miss here usually means you chose a principle stronger than the observations license, dropping the exception the passage supplied. An illustration constrains from both sides at once. Reject any principle that a single one of the reported observations would refute.",0.75
PRINCIPLE_APPLY,Supply the Triggering Fact,"[""PR""]","A general principle with more than one condition is stated, and a verdict is drawn about a particular case. The case is described too thinly to show that any of the principle's conditions is actually met.","The passage gives a rule with branches -- if either this or that -- and then a verdict about someone, without saying which branch that person falls under.","Read the principle's branches, then predict the missing fact that would place the case squarely inside one of them.","[""Scope Failure"",""Direction Failure""]","A miss here usually means you chose a fact that fits the story rather than one that satisfies a branch of the rule. Only the rule's conditions matter. Match the missing fact to a clause of the principle, word against word.",0.70
PRINCIPLE_CONFORM,Find the Conforming Case,"[""PR""]","A principle is laid down, typically in two halves: something is warranted, and something further is not thereby warranted. The task is to find the case that behaves exactly as the principle says a case should.","The principle carries both a concession and a limit -- it gives reason to doubt, but does not prove -- so a conforming case must honour both halves.","Split the principle into its halves and predict a case that satisfies each in turn, rejecting any choice that satisfies only one.","[""Principle Failure""]","A miss here usually means you accepted a case that matched the principle's first half and quietly violated its second. Near misses on a principle are the whole of the test. Check every clause against the case, including the clause saying what does not follow.",0.65
